HINCP	NATIVITY	RAC1P	SEX	HISP	OCCP12
97500	1	1	1	1	3060
156000	1	1	1	1	3060
280000	2	1	2	21	3060
267800	2	1	1	1	3060
331000	1	1	1	1	3060
403000	1	1	2	1	3060
376000	1	1	1	1	3060
203000	2	6	2	1	3060
125680	1	1	2	1	3060
234200	2	1	1	1	3060
42000	1	1	2	1	3060
507900	1	1	1	1	3060
351000	2	6	1	1	3060
351000	2	6	2	1	3060
187000	2	6	1	1	3060
361900	1	1	1	1	3060
368600	1	1	1	1	3060
442220	2	6	1	1	3060
180000	1	1	1	1	3060
409000	1	1	2	1	3060
173600	1	1	2	1	3060
417800	1	1	1	1	3060
417800	1	1	2	1	3060
65000	1	1	1	1	3060
82000	1	1	2	1	3060
132400	1	1	1	1	3060
96900	2	9	1	1	3060
518000	1	2	1	1	3060
630000	1	6	2	1	3060
55000	2	1	1	1	3060
57000	1	1	2	1	3060
57000	1	9	2	1	3060
155000	1	1	1	1	3060
114000	1	1	2	1	3060
73000	1	1	1	1	3060
73000	1	1	2	1	3060
117000	2	2	1	1	3060
151400	1	1	2	1	3060
754000	2	6	1	1	3060
754000	1	1	2	1	3060
664200	1	1	1	1	3060
321000	1	1	1	1	3060
321000	1	6	2	1	3060
138300	2	6	2	1	3060
57000	1	1	2	3	3060
115100	1	1	1	1	3060
44400	1	1	1	1	3060
35000	1	6	2	1	3060
200000	1	1	1	2	3060
150000	1	1	2	3	3060
76100	2	8	1	11	3060
439000	1	6	2	1	3060
125000	1	1	2	1	3060
125000	1	1	1	1	3060
312000	1	1	1	1	3060
61000	2	1	2	17	3060
171100	2	1	1	5	3060
125000	2	6	1	1	3060
277000	1	1	1	1	3060
394400	2	6	1	1	3060
148200	1	1	2	1	3060
86000	2	6	2	1	3060
27200	1	1	1	1	3060
200000	2	6	1	1	3060
235000	1	1	1	1	3060
140000	2	6	1	1	3060
75000	1	1	1	1	3060
150000	1	9	1	1	3060
201200	1	1	1	1	3060
569200	1	1	1	1	3060
441120	1	1	1	1	3060
534150	1	6	1	1	3060
60000	1	1	1	1	3060
209000	2	2	1	1	3060
209200	1	1	1	2	3060
500400	2	2	1	1	3060
220000	2	1	1	1	3060
119500	1	1	1	1	3060
214200	1	1	1	1	3060
60000	1	6	1	1	3060
408000	1	1	1	1	3060
408000	1	1	2	1	3060
133000	1	1	1	1	3060
343200	1	1	1	1	3060
120000	2	2	1	1	3060
375040	1	1	1	1	3060
243000	1	1	1	1	3060
23000	1	1	1	1	3060
806200	1	1	2	1	3060
297000	1	1	2	1	3060
246000	1	1	2	1	3060
200000	2	6	1	1	3060
448000	1	1	1	1	3060
448000	2	1	2	1	3060
319000	2	2	1	1	3060
287600	1	1	1	1	3060
104000	1	6	2	1	3060
217000	1	1	1	1	3060
405150	1	1	2	1	3060
306400	1	1	1	1	3060
328000	1	1	1	1	3060
110000	1	1	1	2	3060
511000	1	1	2	1	3060
511000	2	1	1	1	3060
530000	1	6	2	1	3060
530000	1	1	1	1	3060
94000	1	1	1	1	3060
622000	1	1	2	1	3060
622000	1	1	1	1	3060
428000	1	1	1	1	3060
266000	1	1	1	1	3060
140870	1	1	2	1	3060
58000	2	1	1	1	3060
148000	1	1	2	1	3060
148000	1	1	1	1	3060
217300	1	1	1	1	3060
441000	2	6	2	1	3060
423400	1	1	1	1	3060
100000	2	1	2	16	3060
156620	1	1	1	1	3060
331000	2	2	1	1	3060
179810	2	9	2	1	3060
212000	1	1	2	1	3060
410000	1	1	2	1	3060
314400	1	1	2	1	3060
360000	1	1	1	1	3060
198400	1	1	1	1	3060
514000	1	1	1	1	3060
322550	1	1	2	1	3060
376500	1	1	1	1	3060
376500	1	1	2	1	3060
375000	1	1	1	1	3060
361000	2	6	1	1	3060
114000	1	8	1	19	3060
324200	1	1	1	1	3060
318700	1	1	1	1	3060
516010	1	1	1	1	3060
23200	1	1	1	1	3060
373000	1	1	1	1	3060
177200	2	3	2	1	3060
173000	2	6	1	1	3060
67500	1	1	1	1	3060
806000	2	1	2	1	3060
806000	1	9	1	1	3060
78400	1	1	1	1	3060
170000	1	1	1	1	3060
142000	1	1	1	2	3060
183600	1	1	1	1	3060
374500	1	1	1	1	3060
710000	1	1	1	1	3060
56000	1	1	2	1	3060
170000	2	1	2	1	3060
39800	1	1	2	1	3060
156000	1	1	1	1	3060
662000	1	1	2	1	3060
662000	1	1	1	1	3060
260000	2	6	1	1	3060
61000	1	1	2	1	3060
132000	1	1	1	1	3060
237000	1	6	1	1	3060
95000	1	2	2	1	3060
618000	1	1	2	1	3060
69810	1	1	1	1	3060
140000	2	1	1	1	3060
158400	1	1	1	1	3060
403000	1	1	1	1	3060
367000	2	1	1	1	3060
367000	2	1	2	1	3060
119200	1	1	1	1	3060
310000	2	6	1	1	3060
310000	2	6	2	1	3060
365500	2	1	1	4	3060
495500	1	1	1	1	3060
130000	2	6	2	1	3060
343000	1	1	1	1	3060
410000	1	1	2	1	3060
248000	1	9	1	1	3060
401600	1	1	1	1	3060
371000	1	1	1	1	3060
350000	1	6	2	1	3060
350000	1	6	1	1	3060
319460	1	1	1	1	3060
361650	1	1	1	1	3060
181750	1	1	1	1	3060
267000	1	1	2	1	3060
100500	1	2	1	1	3060
383700	1	1	1	1	3060
333000	2	1	1	1	3060
611000	2	1	1	1	3060
483000	1	1	1	1	3060
130000	2	1	1	1	3060
680500	1	1	2	1	3060
104600	1	1	1	1	3060
407200	1	1	1	1	3060
400000	2	6	1	1	3060
400000	2	6	2	1	3060
85500	2	1	2	1	3060
102000	2	1	1	15	3060
254000	2	6	1	1	3060
50000	2	1	1	1	3060
129710	2	8	2	13	3060
634000	2	1	1	1	3060
149600	2	1	1	1	3060
149600	2	1	2	1	3060
586000	2	6	2	1	3060
360000	1	1	1	1	3060
584000	1	1	1	1	3060
111000	1	1	1	1	3060
111000	1	9	1	1	3060
480000	1	1	1	1	3060
243000	1	1	1	1	3060
340970	1	6	1	1	3060
358700	2	6	1	1	3060
413000	1	1	1	1	3060
400000	2	6	2	1	3060
310000	2	6	2	1	3060
165000	1	1	1	1	3060
331000	1	1	1	1	3060
407500	1	1	1	1	3060
426000	1	1	1	1	3060
426000	1	1	2	2	3060
337000	1	1	1	1	3060
144800	2	6	1	1	3060
111800	1	1	1	1	3060
354000	1	1	1	1	3060
347400	1	1	1	1	3060
195000	1	1	1	2	3060
162800	2	1	2	1	3060
208500	1	1	1	1	3060
441150	1	1	1	1	3060
298100	1	1	2	1	3060
418500	1	2	1	1	3060
418420	1	1	1	1	3060
149600	1	2	2	1	3060
215000	1	1	1	1	3060
165000	1	1	1	1	3060
484000	2	6	1	1	3060
179000	1	1	1	1	3060
523000	1	1	1	1	3060
125600	1	1	1	1	3060
100000	2	6	2	1	3060
350000	2	1	2	13	3060
332000	2	1	1	1	3060
375000	1	1	1	1	3060
74450	1	1	1	1	3060
388000	1	1	1	1	3060
58000	1	1	2	1	3060
74000	1	1	2	1	3060
385000	1	1	1	1	3060
473600	1	1	1	1	3060
190200	2	1	1	1	3060
532300	1	1	1	1	3060
206000	1	1	1	1	3060
192500	1	1	1	1	3060
390000	1	5	1	1	3060
390000	1	5	2	1	3060
385000	1	1	2	1	3060
583000	1	1	2	1	3060
373000	1	1	1	1	3060
103000	2	6	1	1	3060
103000	1	1	2	1	3060
273000	2	6	1	1	3060
65000	1	1	1	1	3060
93400	1	1	1	1	3060
371000	1	1	1	1	3060
472000	1	1	1	1	3060
355000	1	1	1	1	3060
713000	1	1	1	1	3060
357000	1	1	1	1	3060
144000	2	6	1	1	3060
58600	2	2	2	1	3060
443100	1	1	1	1	3060
153000	1	1	2	1	3060
347800	1	1	1	1	3060
157000	1	1	2	1	3060
435500	1	1	1	1	3060
476500	1	1	2	1	3060
403000	1	1	1	1	3060
60000	1	2	2	1	3060
360700	1	1	1	1	3060
53900	1	1	1	1	3060
470000	1	1	1	1	3060
456400	2	2	2	1	3060
150000	1	1	1	1	3060
125000	1	1	1	1	3060
29100	1	1	2	1	3060
17300	2	1	2	1	3060
413050	1	1	1	1	3060
113600	1	1	1	1	3060
699000	1	1	1	1	3060
504800	1	1	1	1	3060
75000	1	6	1	1	3060
282000	1	9	2	1	3060
324100	1	1	1	1	3060
150000	2	1	2	1	3060
70000	2	1	1	1	3060
373000	1	1	2	1	3060
471000	1	1	1	1	3060
471000	1	1	2	1	3060
699000	1	1	1	1	3060
521000	2	6	1	1	3060
417000	1	1	1	1	3060
371000	1	1	1	1	3060
383000	1	1	1	1	3060
171000	1	1	2	3	3060
333000	1	1	1	1	3060
350250	1	1	2	1	3060
160000	2	1	2	5	3060
472200	1	6	2	1	3060
46000	2	1	1	1	3060
74100	2	6	2	1	3060
506500	1	1	1	1	3060
300000	1	1	1	1	3060
300000	1	1	2	1	3060
403000	1	1	1	1	3060
145920	1	2	2	1	3060
130000	1	1	1	1	3060
209500	1	1	1	1	3060
163200	1	1	2	1	3060
330000	1	1	2	1	3060
369000	1	1	2	1	3060
230800	1	9	1	1	3060
374000	2	6	1	1	3060
199600	1	1	1	1	3060
3100	1	1	2	1	3060
266000	2	2	2	1	3060
180000	2	8	2	19	3060
503800	2	1	2	1	3060
503800	2	1	1	1	3060
552651	1	1	1	1	3060
403000	1	6	1	1	3060
84600	1	1	1	1	3060
84600	1	1	2	1	3060
398000	2	6	1	1	3060
185000	1	1	2	1	3060
180000	2	1	1	1	3060
240000	1	2	1	1	3060
150200	1	1	1	1	3060
454400	1	1	1	1	3060
50000	2	1	1	1	3060
92300	1	6	1	1	3060
120000	1	9	2	1	3060
224000	1	1	1	1	3060
197070	1	1	2	1	3060
64000	1	1	1	1	3060
145000	2	6	1	1	3060
567000	2	6	1	1	3060
567000	2	6	2	1	3060
117000	1	1	1	1	3060
132000	2	6	2	1	3060
73020	1	1	2	1	3060
55000	2	6	2	1	3060
80000	1	1	1	1	3060
250000	1	1	1	1	3060
390000	2	6	2	1	3060
27000	1	1	2	2	3060
14200	1	1	1	1	3060
506500	1	1	1	1	3060
335200	2	6	2	1	3060
334400	1	1	1	2	3060
277000	2	6	1	1	3060
548400	1	1	2	1	3060
111000	2	6	1	1	3060
73000	1	1	1	1	3060
132400	1	1	2	1	3060
119000	1	1	1	1	3060
417500	2	6	2	1	3060
170000	2	6	1	1	3060
91400	2	6	2	1	3060
376000	1	1	1	1	3060
167000	1	1	1	1	3060
40000	1	1	1	1	3060
109900	1	1	2	1	3060
120000	1	1	1	1	3060
120000	2	1	2	1	3060
100000	1	2	2	1	3060
322000	1	1	1	1	3060
215000	1	1	1	1	3060
100000	1	1	2	1	3060
100000	1	1	1	1	3060
647500	1	2	2	1	3060
318010	1	1	2	1	3060
331500	1	1	1	1	3060
306500	1	1	1	1	3060
361000	2	6	1	1	3060
45000	1	1	2	1	3060
257000	1	1	1	1	3060
104200	1	1	2	1	3060
304000	2	6	1	1	3060
50000	2	1	1	1	3060
355200	2	2	1	1	3060
53000	1	1	2	1	3060
104400	1	2	2	1	3060
133000	1	1	1	1	3060
70000	1	1	1	1	3060
78200	1	1	1	1	3060
373000	1	6	1	1	3060
45700	1	1	1	1	3060
353000	1	1	1	1	3060
161000	1	1	2	1	3060
108000	1	1	2	1	3060
48600	1	1	2	1	3060
175000	2	1	2	1	3060
100000	1	1	1	1	3060
254000	1	1	1	1	3060
65000	1	1	1	1	3060
350000	1	1	1	1	3060
103750	2	1	1	2	3060
65100	1	1	2	2	3060
93800	1	1	1	1	3060
124000	1	1	1	1	3060
220000	1	1	2	1	3060
67800	1	1	1	1	3060
106280	2	6	1	1	3060
406000	1	1	1	1	3060
177000	1	1	2	1	3060
160000	1	1	1	1	3060
58000	1	1	1	1	3060
566600	2	6	1	1	3060
566600	2	6	2	1	3060
100000	1	1	2	1	3060
95000	1	1	1	1	3060
55000	1	1	1	16	3060
135000	2	1	1	19	3060
227000	1	1	1	1	3060
155000	1	1	1	1	3060
314000	1	1	1	1	3060
310000	2	6	2	1	3060
168600	2	1	1	1	3060
125200	1	1	2	1	3060
70000	1	1	2	1	3060
210000	1	2	2	1	3060
409000	1	1	2	1	3060
172000	2	6	1	1	3060
229000	2	1	1	4	3060
160000	2	1	1	13	3060
160000	2	1	2	13	3060
332000	1	9	1	1	3060
180000	1	1	1	1	3060
50000	1	1	2	1	3060
331000	2	6	1	1	3060
380000	1	1	2	1	3060
173000	1	1	1	1	3060
324000	1	1	1	1	3060
46000	2	1	1	1	3060
331000	2	6	2	1	3060
326900	1	1	1	1	3060
411000	1	1	1	1	3060
100000	2	1	1	2	3060
388510	1	1	1	1	3060
499000	1	1	1	3	3060
116000	1	1	1	1	3060
235000	1	1	1	1	3060
203100	1	1	1	1	3060
504000	1	2	1	2	3060
421000	1	1	1	1	3060
421000	1	1	2	23	3060
87000	1	2	2	1	3060
247000	2	1	2	1	3060
250000	1	1	1	3	3060
152600	2	6	2	1	3060
155000	1	1	1	1	3060
46200	2	6	1	1	3060
175000	1	1	1	1	3060
392000	1	1	1	1	3060
578600	1	1	1	1	3060
438000	1	1	1	1	3060
410000	2	6	1	1	3060
364000	1	1	1	1	3060
419000	2	1	1	1	3060
325000	1	1	2	1	3060
403000	1	1	1	1	3060
212000	1	1	2	1	3060
286500	1	1	1	1	3060
125400	2	2	2	1	3060
461000	1	6	1	1	3060
335804	1	1	1	1	3060
176000	1	1	2	1	3060
284000	1	9	1	1	3060
225000	2	6	2	1	3060
290000	1	1	1	1	3060
187500	1	1	1	1	3060
122400	1	1	1	1	3060
270400	1	1	2	1	3060
297000	1	1	2	1	3060
145000	1	1	2	1	3060
156800	2	6	1	1	3060
50400	2	6	1	1	3060
407000	1	1	1	1	3060
140000	1	1	1	1	3060
792000	1	1	2	1	3060
183000	1	1	2	1	3060
375000	1	1	1	1	3060
230000	1	1	1	1	3060
76500	1	1	1	1	3060
255000	1	1	1	1	3060
95500	1	2	1	1	3060
66000	1	1	1	1	3060
337000	1	3	1	1	3060
294000	1	1	1	1	3060
433000	1	1	1	1	3060
168300	1	1	1	1	3060
58000	2	1	1	2	3060
409000	1	1	1	1	3060
79700	1	1	1	1	3060
156000	2	1	2	1	3060
480000	1	1	1	1	3060
245000	2	6	2	1	3060
200400	1	1	2	1	3060
154500	2	1	2	1	3060
331000	1	2	1	1	3060
200000	2	6	2	1	3060
200500	2	6	1	1	3060
363200	1	1	1	1	3060
382100	1	1	1	1	3060
280000	2	1	1	1	3060
280000	1	1	2	1	3060
156000	1	1	1	1	3060
139000	2	6	1	1	3060
176000	1	1	1	1	3060
95000	1	1	1	1	3060
186000	2	9	2	1	3060
41350	1	1	2	1	3060
285000	1	1	1	1	3060
262000	1	1	1	1	3060
71100	1	1	1	1	3060
414500	1	1	1	1	3060
372500	1	1	1	1	3060
138000	1	1	1	1	3060
88020	1	1	2	1	3060
59100	1	1	1	1	3060
251000	1	1	2	1	3060
346800	1	1	1	1	3060
320400	1	1	1	1	3060
94900	1	1	1	1	3060
94900	1	1	2	1	3060
50000	1	1	1	1	3060
566000	1	1	1	1	3060
475200	1	1	1	1	3060
480000	1	1	1	1	3060
581000	1	1	1	1	3060
581000	1	1	2	1	3060
22200	1	1	1	1	3060
66200	1	6	1	1	3060
70800	1	1	1	1	3060
45300	1	1	1	1	3060
283000	1	1	1	1	3060
462000	1	1	1	1	3060
656000	2	1	1	2	3060
656000	2	1	2	1	3060
125000	2	1	2	1	3060
104000	2	1	2	4	3060
200000	1	1	2	1	3060
375200	1	1	1	1	3060
412000	2	6	1	1	3060
